severity,issue_class,subject,issue_type,scan_performed_on,status,insight,detection_method,risk,recommended_action
Low,AI 라비린스로 원치 않는 AI 크롤러 검토,ark10090.workers.dev,구성 제안,2026-07-31T03:55:51.956681Z,Active,,,,"AI 라비린스 사용. "
Moderate,AI 봇을 검토하고 자산에 액세스하지 못하도록 차단,ark10090.workers.dev,구성 제안,2026-07-31T03:55:51.956678Z,Active,,,,"""AI 봇 차단"" 토글 사용. "
Low,Security.txt 구성 안 됨,ark10090.workers.dev,구성 제안,2026-07-31T03:55:56.992449Z,Active,Security.txt 구성 안 됨. 웹 사이트의 취약성 공개 프로세스를 개선하기 위해 Security.txt 파일을 구성하고 관리합니다.,이 도메인에 대해 구성된 보안 설정을 평가한 결과 Security.txt가 사용되지 않은 것으로 확인되었습니다.,Security.txt 인사이트가 없으면 연구자가 취약성을 보고할 수 있는 명확하고 접근 가능한 방법이 부족해집니다. 이로 인해 보안 문제가 간과되거나 제대로 보고되지 않아 악용 위험이 증가할 수 있습니다.,"Security.txt 파일 구성. "
Moderate,"""항상 HTTPS 사용""이 없는 도메인",*.ark10090.workers.dev,안전하지 않은 구성,2026-07-31T03:55:59.645904Z,Active,"""항상 HTTPS 사용""이 없는 도메인. 호스트에 대한 HTTP 요청이 동일한 HTTPS 요청으로 리디렉션되지 않습니다.",포트 80에서 HTTP 요청을 하고 응답을 받았지만 응답이 해당 HTTPS URL에 대한 301 리디렉션이 아닙니다.,전송 중인 암호화되지 않은 데이터,항상 HTTPS 사용 사용. 영역의 Cloudflare SSL/TLS 에지 인증서 설정에서 항상 HTTPS 사용을 사용하십시오.
Moderate,TLS 암호화가 누락된 도메인,*.ark10090.workers.dev,규정 준수 위반,2026-07-31T03:55:59.645908Z,Active,TLS 암호화가 누락된 도메인. 이 호스트에 대한 TLS 암호화가 없음을 감지했습니다.,호스트가 포트 80에서 HTTP 연결을 허용하지만 포트 443에서 HTTPS 연결을 허용하지 않습니다. 결과적으로 이 호스트에 대해 TLS 암호화가 설정되어 있지 않은 것으로 확인되었습니다.,전송 중인 암호화되지 않은 데이터,호스트에 대한 TLS 암호화 설정. 이 영역에 대한 SSL/TLS 암호화 모드를 전체(엄격)로 업데이트합니다.
Moderate,Bot Fight 모드이 활성화되지 않음,ark10090.workers.dev,구성 제안,2026-07-31T03:56:02.905817Z,Active,,,,"Bot Fight 모드를 켭니다. 보안 > 이벤트로 이동하면 봇 관련 작업을 확인할 수 있습니다. 이 제품에 의해 챌린지를 받은 모든 요청은 서비스 필드에 Bot Fight 모드로 표시됩니다. 이를 통해 시간에 따라 봇 트래픽을 관찰, 분석 및 추적할 수 있습니다."
Moderate,AI 봇을 검토하고 자산에 액세스하지 못하도록 차단,baek19xx-site-02.pages.dev,구성 제안,2026-07-31T03:55:52.11032Z,Active,,,,"""AI 봇 차단"" 토글 사용. "
Moderate,Bot Fight 모드이 활성화되지 않음,baek19xx-site-02.pages.dev,구성 제안,2026-07-31T03:55:51.32356Z,Active,,,,"Bot Fight 모드를 켭니다. 보안 > 이벤트로 이동하면 봇 관련 작업을 확인할 수 있습니다. 이 제품에 의해 챌린지를 받은 모든 요청은 서비스 필드에 Bot Fight 모드로 표시됩니다. 이를 통해 시간에 따라 봇 트래픽을 관찰, 분석 및 추적할 수 있습니다."
Low,AI 라비린스로 원치 않는 AI 크롤러 검토,baek19xx-site-02.pages.dev,구성 제안,2026-07-31T03:55:52.110324Z,Active,,,,"AI 라비린스 사용. "
Low,Security.txt 구성 안 됨,baek19xx-site-02.pages.dev,구성 제안,2026-07-31T03:55:56.918089Z,Active,Security.txt 구성 안 됨. 웹 사이트의 취약성 공개 프로세스를 개선하기 위해 Security.txt 파일을 구성하고 관리합니다.,이 도메인에 대해 구성된 보안 설정을 평가한 결과 Security.txt가 사용되지 않은 것으로 확인되었습니다.,Security.txt 인사이트가 없으면 연구자가 취약성을 보고할 수 있는 명확하고 접근 가능한 방법이 부족해집니다. 이로 인해 보안 문제가 간과되거나 제대로 보고되지 않아 악용 위험이 증가할 수 있습니다.,"Security.txt 파일 구성. "
Moderate,HSTS가 없는 도메인,baek19xx-site-02.pages.dev,안전하지 않은 구성,2026-07-31T03:55:59.507526Z,Active,"HSTS가 없는 도메인. HTTP 엄격한 전송 보안은 웹사이트가 클라이언트 웹 브라우저에서 보안 정책을 지정 및 강제 적용하도록 허용하는 헤더입니다. 이러한 정책 적용은 다운그레이드 공격, SSL 스트리핑 및 쿠키 하이재킹으로부터 보안 웹사이트를 보호합니다.",응답에 Strict-Transport-Security 헤더가 있는지 확인하기 위해 호스트 이름에 HTTP 및 HTTPS 요청을 했습니다. 응답에서 올바른 헤더가 감지되지 않았습니다.,전송 중인 암호화되지 않은 데이터,HSTS 사용. 영역의 Cloudflare SSL/TLS 에지 인증서 설정에서 HSTS를 사용하십시오.
Moderate,HSTS가 없는 도메인,fallback.baek19xx-site-02.pages.dev,안전하지 않은 구성,2026-07-31T03:55:59.588419Z,Active,"HSTS가 없는 도메인. HTTP 엄격한 전송 보안은 웹사이트가 클라이언트 웹 브라우저에서 보안 정책을 지정 및 강제 적용하도록 허용하는 헤더입니다. 이러한 정책 적용은 다운그레이드 공격, SSL 스트리핑 및 쿠키 하이재킹으로부터 보안 웹사이트를 보호합니다.",응답에 Strict-Transport-Security 헤더가 있는지 확인하기 위해 호스트 이름에 HTTP 및 HTTPS 요청을 했습니다. 응답에서 올바른 헤더가 감지되지 않았습니다.,전송 중인 암호화되지 않은 데이터,HSTS 사용. 영역의 Cloudflare SSL/TLS 에지 인증서 설정에서 HSTS를 사용하십시오.
Low,사용된 Turnstile 없음,This account,구성 제안,2026-07-31T03:55:51.327851Z,Active,,,,"Turnstile 위젯 생성. "
Moderate,MFA가 없는 사용자,ark10090@gmail.com,취약한 인증,2026-07-31T03:55:57.006311Z,Active,,,,계정에 2단계 인증 필요. Cloudflare 계정에 2FA(2단계 인증)이 필요합니다. Cloudflare 계정의 모든 구성원은 2FA를 설정해야 합니다.
